eduid,id,official_name,official_short,official_address,official_years,our_name,our_short,our_years
100001877,000044351,Obchodná akadémia - Kereskedelmi Akadémia,Obchodná akadémia,"Bratislavská 38, Veľký Meder","ss:2,ss:4,ss:9",Obchodná akadémia,,
100005181,000044717,Stredná priemyselná škola stavebná - Építőipari Szakközépiskola,SPŠ stavebná,"Konkolyho 8, Hurbanovo","ss:4,ss:9",Stredná priemyselná škola stavebná,,
100006699,000047147,Gymnázium,Gymnázium,"Mládežnícka 22, Šahy","gym:4,gym:5,gym:8",,,
100014680,000133132,Škola umeleckého priemyslu,ŠUP,"Jakobyho 15, Košice-Staré Mesto",ss:4,,,
100009457,000158496,Stredná odborná škola hotelových služieb a obchodu,SOŠ hotel.sl. a obchodu,"Školská 5, Banská Bystrica","ss:1,ss:2,ss:3,ss:4,ss:5,ss:9",,,
100007422,000158518,Stredná odborná škola obchodu a služieb,Stredná odborná škola,"Pelhřimovská 10, Dolný Kubín","ss:1,ss:2,ss:3,ss:4,ss:5,ss:9",,,
100008038,000158551,Stredná odborná škola obchodu a služieb,SOŠ obchodu a služieb,"Stavbárska, Martin","ss:1,ss:2,ss:3,ss:4,ss:5,ss:9",,,
100004424,000158569,Stredná odborná škola obchodu a služieb,SOŠ obchodu a sližieb,"Ul. 1. mája 1264, Púchov","ss:1,ss:2,ss:3,ss:4,ss:5,ss:9",,,
100004251,000158577,Stredná odborná škola obchodu a služieb,SOŠ obchodu a služieb,"Nábrežie J. Kalinčiaka 1, Prievidza","ss:1,ss:2,ss:3,ss:4,ss:5,ss:9",,,
100009130,000158623,Hotelová akadémia,Hotelová akadémia,"Hlinská 31, Žilina","ss:1,ss:2,ss:3,ss:4,ss:5,ss:9",,,
100001957,000158984,Stredná odborná škola technická - Múszaki Szakközépiskola,SOŠ technická,"Esterházyovcov 10, Galanta","ss:1,ss:2,ss:3,ss:4,ss:9",Stredná odborná škola technická,,
100006782,000159000,Stredná odborná škola chovu koní a služieb - Lótenyésztési és Szolgáltatóipari Szakközépiskola,SOŠ chovu koní - Lótenyésztési Szakközép.,"Štúrova 74, Šaľa","ss:1,ss:2,ss:3,ss:4,ss:9",Stredná odborná škola chovu koní a služieb,,
