id,name,group
111,MŠ celodenná výchova a vzdelávanie,
112,MŠ poldenná výchova a vzdelávanie,
115,MŠ - ZŠ s MŠ,
116,MŠ - ZŠ s MŠ I.stupeň,
211,Základná škola,zs
213,ZŠ internátna,zs
221,ZŠ I. stupeň,zs
223,ZŠ I.stupeň internátna,zs
231,ZŠ II. stupeň,zs
233,ZŠ II.stupeň internátna,zs
250,Základná umelecká škola,
315,Stredisko praktického vyučovania,
317,Stredisko odbornej praxe,
321,Gymnázium,gym
331,Hudobné a dramatické konzervatórium,
332,Tanečné konzervatórium,
341,Stredná športová škola,ss
410,Stredná odborná škola,ss5
416,Stredná priemyselná škola,ss
443,Dopravná akadémia,ss
451,Obchodná akadémia,ss
452,Hotelová akadémia,ss5
473,Škola umeleckého priemyslu,ss
482,Stredná pedagogická škola,ss
483,Pedagogická a kultúrna akadémia,ss
484,Pedagogická a sociálna akadémia,ss
487,Stredná zdravotnícka škola,ss
491,Policajná stredná odborná škola,
492,Stredná škola požiarnej ochrany,
49J,Technická akadémia,ss
500,Praktická škola pre žiakov s autizmom,
501,Praktická škola,
502,Praktická škola pre žiakov so sluchovým postihnutím,
503,Praktická škola žiakov so zrakovým postihnutím,
504,Praktická škola pre žiakov s narušenou komunikačnou schopnosťou,
505,Praktická škola pre žiakov s telesným postihnutím,
510,ŠMŠ pre deti s autizmom,
511,Špeciálna materská škola,
512,ŠMŠ pre deti so sluchovým postihnutím,
513,ŠMŠ pre deti so zrakovým postihnutím,
514,ŠMŠ pre deti s narušenou komunikačnou schopnosťou,
515,ŠMŠ pre deti s telesným postihnutím,
516,ŠMŠ pre deti s viacnásobným postihnutím,
517,MŠ pri zdravotníckom zariadení,
518,ŠMŠ pri špeciálnom výchovnom zariadení,
51N,MŠ pre deti s nadaním,
520,ZŠ pre žiakov s autizmom,zs
522,ZŠ pre žiakov so sluchovým postihnutím,zs
523,ZŠ pre žiakov so zrakovým postihnutím,zs
524,ZŠ pre žiakov s narušenou komunikačnou schopnosťou,zs
525,ZŠ pre žiakov s telesným postihnutím,zs
527,ZŠ pri zdravotníckom zariadení,zs
528,ZŠ pri špeciálnom výchovnom zariadení,zs
529,ZŠ pre žiakov s poruchou učenia,zs
52N,ZŠ pre žiakov s nadaním,zs
530,ŠZŠ pre žiakov s autizmom,zs10
531,Špeciálna základná škola,zs10
532,ŠZŠ pre žiakov so sluchovým postihnutím,zs10
533,ŠZŠ pre žiakov so zrakovým postihnutím,zs10
534,ŠZŠ pre žiakov s narušenou komunikačnou schopnosťou,zs10
535,ŠZŠ pre žiakov s telesným postihnutím,zs10
537,ŠZŠ pri zdravotníckom zariaden,zs10
